bank_name,tenure,gen_rate,annualised_gen_rate,sr_rate,annualised_sr_rate,super_sr_rate,annualised_super_sr_rate,threshold_amt
Kotak Mahindra Bank,46 - 90 Days,3.50%,3.50%,4.00%,4.00%,,,30000000
Kotak Mahindra Bank,91 - 120 Days,4.00%,4.00%,4.50%,4.50%,,,30000000
Kotak Mahindra Bank,121 - 179 days,4.25%,4.25%,4.75%,4.75%,,,30000000
Kotak Mahindra Bank,180 Days,7.00%,7.00%,7.50%,7.50%,,,30000000
Kotak Mahindra Bank,181 Days to 269 Days,6.00%,6.09%,6.50%,6.61%,,,30000000
Kotak Mahindra Bank,270 Days,6.00%,6.09%,6.50%,6.61%,,,30000000
Kotak Mahindra Bank,271 Days to 363 Days,6.00%,6.09%,6.50%,6.61%,,,30000000
Kotak Mahindra Bank,364 Days,6.50%,6.61%,7.00%,7.12%,,,30000000
Kotak Mahindra Bank,365 Days to 389 Days,7.10%,7.29%,7.60%,7.82%,,,30000000
Kotak Mahindra Bank,390 Days (12 months 25 days),7.40%,7.61%,7.90%,8.14%,,,30000000
Kotak Mahindra Bank,391 Days - Less than 23 Months,7.40%,7.61%,7.90%,8.14%,,,30000000
Kotak Mahindra Bank,23 Months,7.30%,7.50%,7.85%,8.08%,,,30000000
Kotak Mahindra Bank,23 months 1 Day- less than 2 years,7.30%,7.50%,7.85%,8.08%,,,30000000
Kotak Mahindra Bank,2 years- less than 3 years,7.15%,7.34%,7.65%,7.87%,,,30000000
Kotak Mahindra Bank,3 years and above but less than 4 years,7.00%,7.19%,7.60%,7.82%,,,30000000
Kotak Mahindra Bank,4 years and above but less than 5 years,7.00%,7.19%,7.60%,7.82%,,,30000000
Kotak Mahindra Bank,5 years and above upto and inclusive of 10 years,6.20%,6.35%,6.70%,6.87%,,,30000000
bank_name,tenure,gen_rate,annualised_gen_rate,sr_rate,annualised_sr_rate,super_sr_rate,annualised_super_sr_rate,threshold_amt
Nainital Bank,7 days    to 14 days,3.25%,,3.75%,,3.85%,,20000000
Nainital Bank,15 days    to 30 days,3.25%,,3.75%,,3.85%,,20000000
Nainital Bank,31 days    to 45 days,3.25%,,3.75%,,3.85%,,20000000
Nainital Bank,46 days    to 90 days,4.25%,,4.75%,,4.85%,,20000000
Nainital Bank,91 days    to 179 days,4.25%,,4.75%,,4.85%,,20000000
Nainital Bank,180 days and above but less than 270 days,4.95%,,5.45%,,5.55%,,20000000
Nainital Bank,270 days and above but less than 1 year,5.75%,,6.25%,,6.35%,,20000000
Nainital Bank,1 year and above but less than or  equal to 18 months,6.70%,,7.2%,,7.3%,,20000000
Nainital Bank,Above 18 months but less than or  equal to 2 years,6.25%,,6.75%,,6.85%,,20000000
Nainital Bank,Above 2 years but less than or equal to 3 years,6.25%,,6.75%,,6.85%,,20000000
Nainital Bank,Above 3 years but less than or equal to 5 years,5.75%,,6.25%,,6.35%,,20000000
Nainital Bank,Above 5 years but less than or equal to upto 10 years,5.35%,,5.85%,,5.949999999999999%,,20000000
Nainital Bank,Naini Plus 2023 Deposit Scheme (Callable) -400 days,7.05%,,7.55%,,7.6499999999999995%,,20000000
Nainital Bank,Naini Plus 2023 Deposit Scheme Deposit (Non-Callable) – 400 days,7.10%,,7.6%,,7.699999999999999%,,20000000
Nainital Bank,Naini    Tax Saver Scheme*,5.75%,,,,,,20000000
bank_name,tenure,gen_rate,annualised_gen_rate,sr_rate,annualised_sr_rate,super_sr_rate,annualised_super_sr_rate,threshold_amt
RBL Bank,7 days to 14 days,3.50%,,4.00%,,4.25%,,30000000
RBL Bank,15 days to 45 days,4.00%,,4.50%,,4.75%,,30000000
RBL Bank,46 days to 90 days,4.50%,,5.00%,,5.25%,,30000000
RBL Bank,91 days to 180 days,4.75%,,5.25%,,5.5%,,30000000
RBL Bank,181 days to 240 days,5.50%,,6.00%,,6.25%,,30000000
RBL Bank,241 days to 364 days,6.05%,,6.55%,,6.8%,,30000000
RBL Bank,365 days to 452 days (12 months to less than 15 months),7.50%,,8.00%,,8.25%,,30000000
RBL Bank,453 days to 499 days (15 months to 16 months 14 days),7.80%,,8.30%,,8.55%,,30000000
RBL Bank,500 days,8.10%,,8.60%,,8.85%,,30000000
RBL Bank,501 days to 545 days (16 months 16 days to less than 18 months),7.80%,,8.30%,,8.55%,,30000000
RBL Bank,546 days to 24 months (18 months to 24 months),8.00%,,8.50%,,8.75%,,30000000
RBL Bank,24 months 1 day to 36 months,7.50%,,8.00%,,8.25%,,30000000
RBL Bank,36 months 1 day to 60 months 1 day,7.10%,,7.60%,,7.85%,,30000000
RBL Bank,60 months 2 days to 120 months,7.00%,,7.50%,,7.75%,,30000000
RBL Bank,Tax Savings Fixed Deposits (60 months),7.10%,,7.60%,,7.85%,,30000000
Tamilnad Mercantile Bank,7-14 days,5.25%,,5.25%,,,,30000000
Tamilnad Mercantile Bank,15-29 days,5.25%,,5.25%,,,,30000000
Tamilnad Mercantile Bank,30-45 days,5.25%,,5.25%,,,,30000000
Tamilnad Mercantile Bank,46-60 days,5.25%,,5.25%,,,,30000000
Tamilnad Mercantile Bank,61-90 days,5.25%,,5.25%,,,,30000000
Tamilnad Mercantile Bank,91-120 days,5.75%,,5.75%,,,,30000000
Tamilnad Mercantile Bank,121-179 days,6.00%,,6.00%,,,,30000000
Tamilnad Mercantile Bank,180-270 days,6.00%,,6.00%,,,,30000000
Tamilnad Mercantile Bank,271 days to less than 1 year,6.00%,,6.00%,,,,30000000
Tamilnad Mercantile Bank,1 year to less than 400 days,7.00%,,7.50%,,,,30000000
Tamilnad Mercantile Bank,400 days,7.50%,,8.00%,,,,30000000
Tamilnad Mercantile Bank,Above 400 days to less than 20 months & 20 days,7.00%,,7.50%,,,,30000000
Tamilnad Mercantile Bank,20 months & 20 days,7.00%,,7.50%,,,,30000000
Tamilnad Mercantile Bank,Above 20 months 20 days to less than 2 years,7.00%,,7.50%,,,,30000000
